Entity,Developed
Australia,1
Austria,1
Belgium,1
Canada,1
Cyprus,1
Czech Republic,1
Denmark,1
Estonia,1
Finland,1
France,1
Germany,1
Greece,1
Hong Kong SAR,1
Iceland,1
Ireland,1
Israel,1
Italy,1
Japan,1
Korea,1
Latvia,1
Lithuania,1
Luxembourg,1
Macao SAR,1
Malta,1
Netherlands,1
New Zealand,1
Norway,1
Portugal,1
Puerto Rico,1
San Marino,1
Singapore,1
Slovak Republic,1
Slovenia,1
Spain,1
Sweden,1
Switzerland,1
Taiwan Province of China,1
United Kingdom,1
United States,1
