,Fertility,Ch_mortality,Literacy,Gini,Energy_use,Gov_exp,Human_rights,Life_expectancy,Avg_years_school,Political_regime,Gdp_per_capita,Internet,Sanitation,Extreme_poverty,Electricity,Water,Subnutrition,Corruption,Taxes
Afghanistan,4.18,6.790000000000001,38.168040999999995,35.34000000000001,4006.0206832304057,22.9868095,-2.311016703,64.833,3.8,-1.0,1803.98748708124,10.5957264186601,31.9,22.46,84.1371383666992,55.3,30.3,16.0,9.506653
Albania,1.7,0.8800000000000001,97.55390200000001,29.0,9402.34141450083,31.65025311,0.851179641,78.57300000000001,10.0,9.0,11803.4305936025,66.363444701023,93.2,1.1,100.0,95.1,5.5,36.0,23.52533
Algeria,2.59,2.4000000000000004,79.608398,27.6,15364.387111365351,40.68145846,0.35419684700000004,76.88,8.0,2.0,13913.839363481899,42.9455268800332,87.6,0.5,99.43956756591801,83.6,4.7,35.0,14.321747
Angola,5.48,8.11,71.164162,42.7,6338.820907483548,39.55557754,-0.388862744,61.147,5.1,-2.0,5819.49497145261,13.0,51.6,30.1,40.5206069946289,49.0,23.9,19.0,16.626938
Argentina,2.25,1.04,98.089973,42.7,23436.625278564567,43.26559,0.784109255,76.667,9.9,9.0,18933.9071474396,70.96898082060241,96.4,0.6,100.0,99.1,3.8,40.0,30.086376
Armenia,1.59,1.26,99.768417,32.4,11840.168524750408,25.90722895,0.106262163,75.087,11.7,5.0,8787.57993972036,64.3460297653742,89.5,1.8,100.0,100.0,4.3,35.0,21.244073
Australia,1.82,0.35000000000000003,99.0,34.7,63683.759272651165,36.743111999999996,1.753645266,83.436,12.9,10.0,44648.7099113362,86.54472053577021,100.0,0.5,100.0,100.0,3.2600000000000002,77.0,28.57852
Austria,1.53,0.36000000000000004,98.0,30.5,44197.48225872493,52.71051,2.275798607,81.544,12.1,10.0,45436.6858219914,87.93558658560622,100.0,0.7,100.0,100.0,4.119999999999999,76.0,41.750322
Azerbaijan,2.02,2.3000000000000003,99.80526,31.8,17469.169098651448,34.64542411,-0.397757013,73.005,10.7,-7.0,15847.418832752901,79.0,89.3,0.0,100.0,87.0,2.5,25.0,16.506068
Bahamas,1.74,0.7200000000000001,95.599998,41.370000000000005,24087.04517305041,27.19596734,0.844839947,73.918,11.1,5.6,27717.847297520897,80.0,92.0,1.1600000000000001,100.0,98.4,5.0,65.0,15.101101000000002
Bahrain,1.96,0.73,95.717262,38.62,123208.18677384016,32.05186875,-0.37373598700000005,77.292,9.4,-10.0,43290.704518074504,95.87813575434531,99.2,0.04,100.0,100.0,6.4300000000000015,36.0,1.0698809999999999
Bangladesh,2.02,3.24,61.493832,32.1,2584.429755428616,17.99112519,-1.4225034769999998,72.59100000000001,5.8,1.0,3523.9838506259202,18.246938002944898,60.6,14.8,75.92,86.9,15.2,26.0,8.413986999999999
